OTU	A01SHZ1	A02SHZ2	A03SHZ3	A04ZY1	A05ZY2	A06ZY3	A07TS1	A08TS2	A09TS3	A10CW1	A11CW2	A12CW3	A13TY1	A14TY2	A15TY3	A16QZ1	A17QZ2	A18QZ3	A19SQ1	A20SQ2	A21SQ3	A22HZ1	A23HZ2	A24HZ3	A25SZ1	A26SZ2	A27SZ3	A28SY1	A29SY2	A30SY3	A31SP1	A32SP2	A33SP3	A34HEB1	A35HEB2	A36HEB3
AOB_1	1256	980	1130	1063	1220	1098	1215	1908	1181	1262	1198	1501	1217	911	1126	1408	1519	1763	1361	1386	1249	1464	1791	1397	1416	1701	1257	876	1149	982	1096	886	1009	847	881	837
AOB_2	8423	4357	5015	4213	4192	6490	3109	5826	2885	3981	3044	3699	3028	2876	2732	9523	11135	8992	8893	5497	4743	6529	6509	9266	14016	17038	8224	2616	2146	2046	3241	2089	2221	2280	1802	1640
AOB_3	922	626	802	821	934	811	825	1679	1005	987	835	1064	952	646	745	1033	1028	1301	1029	1068	941	905	1244	1032	1112	1145	890	876	1056	941	813	874	868	700	968	826
AOB_4	791	617	831	833	792	829	728	2527	1017	922	772	1016	921	724	786	1041	980	1341	953	963	915	966	1283	942	1077	1248	903	750	950	845	746	879	909	642	898	867
AOB_5	1220	960	1007	1169	1227	1222	1190	5950	1444	1282	1311	1513	1280	1037	1085	1538	1328	1837	1554	1503	1315	1326	1948	1514	1455	1705	1235	1194	1379	1355	1084	1590	1517	1053	1369	1454
AOB_6	1218	960	1025	1097	1225	1101	1118	1912	1200	1176	1173	1413	1236	963	1022	1459	1415	1862	1538	1378	1304	1284	1740	1296	1437	1539	1191	960	1090	1029	989	974	1119	815	965	971
AOB_7	1150	895	1078	1038	1202	1142	1110	1682	1104	1222	1184	1399	1146	1007	938	1399	1440	1731	1377	1323	1191	1319	1671	1208	1327	1605	1170	918	1140	1113	1026	956	984	784	1071	948
AOB_8	1156	851	1088	985	1061	1230	1183	1762	1091	1130	1109	1328	1138	923	1012	1246	1205	1589	1207	1288	1188	1096	1475	1141	1263	1426	1087	1027	1283	1186	964	1196	1244	795	1183	1205
AOB_9	2013	1503	1721	1624	2305	1581	1762	2293	1550	1841	1704	2103	1757	1465	1509	1910	2125	2376	1956	1916	1716	1764	2312	1949	2225	2443	1718	1229	1504	1307	1505	1375	1432	1137	1297	1157
AOB_10	394	349	415	551	454	389	525	717	392	548	552	633	517	397	374	426	480	584	504	571	494	505	591	504	635	595	482	336	408	378	429	401	469	332	340	302
AOB_11	120	76	101	165	169	118	142	295	155	166	135	162	169	141	131	162	151	151	144	153	128	135	160	123	357	233	164	112	130	92	103	113	95	94	112	129
AOB_12	881	718	796	882	880	799	922	1151	775	1055	931	1214	933	807	838	1234	1190	1385	1145	1242	886	984	1358	982	1386	1300	901	701	791	775	839	730	758	628	714	721
AOB_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AOB_14	949	713	773	1098	837	758	1135	1678	849	1019	1004	1460	1073	821	1036	1063	1230	1356	1086	1079	973	993	1303	977	2407	1655	1176	849	1106	979	955	813	1053	791	873	863
AOB_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
AOB_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
AOB_17	121	96	134	137	314	103	205	257	143	162	142	184	177	115	114	143	188	133	166	141	124	103	164	145	182	194	113	121	146	116	113	106	145	112	129	94
AOB_18	320	219	283	296	303	259	301	398	229	316	339	420	268	262	245	880	465	741	868	487	405	328	502	644	2398	1074	487	261	266	285	259	241	253	232	258	236
AOB_19	367	277	322	396	419	332	414	657	400	367	416	552	418	325	423	416	476	578	419	426	373	432	580	403	668	549	388	316	403	437	363	345	371	299	414	328
AOB_20	2072	1546	1604	1597	2015	1599	1821	2395	1458	1902	1822	2180	1846	1694	1576	2777	3502	3148	2278	2069	1797	1929	2427	2159	1810	2291	1770	1245	1551	1379	1606	1356	1451	1230	1325	1205
